addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
800406,4.5324153758,0.1147446931,6.94205393,0.2294893861,0.2294893861,3.7292025244,1.1474469306,0,16.924842226,1.9036144578,0.0481927711,2.9156626506,0.0963855422,0.0963855422,1.5662650602,0.4819277108,0,7.1084337349,79,2,121,4,4,65,20,0,295,0.1948115999,0.0049319392,0.0098638785,0.2983823239,0.0098638785,0.1602880253,0.0493193924,0,0.7274610377,4150,26,62.6506024096,405.52,17.43,405.52,10.2337739199,47.9548988493,14.6957035603,0.132865937
800407,1.6905071521,0.1300390117,6.2418725618,0,0.2600780234,3.1209362809,1.4304291287,0,12.8738621586,0.2796901893,0.0215146299,1.0327022375,0,0.0430292599,0.5163511188,0.2366609294,0,2.1299483649,13,1,48,0,2,24,11,0,99,0.0463160895,0.0035627761,0,0.1710132535,0.0071255522,0.0855066268,0.0391905373,0,0.3527148354,4648,19,40.8777969019,280.68,7.69,280.68,16.5597833832,40.4551319102,0.4226649917,0.0051967266
800409,1.6506189821,0.0343878955,7.8748280605,0.2063273728,0.2751031637,3.9202200825,0.9628610729,0,14.92434663,0.7371007371,0.0153562654,3.5165847666,0.0921375921,0.1228501229,1.7506142506,0.42997543,0,6.6646191646,48,1,229,6,8,114,28,0,434,0.0804316499,0.0016756594,0.0100539562,0.3837259962,0.013405275,0.1910251684,0.0469184624,0,0.7272361674,6512,45,69.1031941032,596.78,29.08,596.78,10.9118938302,49.2268624873,19.8763316159,0.1679736509
800410,0.9335529929,0.0549148819,6.1504667765,0.0823723229,0.3844041735,4.7501372872,0.9060955519,0.027457441,13.2894014278,0.488786659,0.0287521564,3.2202415181,0.0431282346,0.2012650949,2.4870615296,0.4744105808,0.0143760782,6.9580218516,34,2,224,3,14,173,33,1,484,0.076621445,0.0045071438,0.0067607157,0.5048001082,0.0315500068,0.3898679407,0.0743678731,0.0022535719,1.0907288052,6956,42,60.3795284646,443.74,36.42,443.74,15.6758462163,53.2093142506,7.170214214,0.0631242827
800415,6.2260536398,0,10.4406130268,0.3831417625,0.5747126437,7.3754789272,1.6283524904,0,26.6283524904,2.2847100176,0,3.8312829525,0.1405975395,0.2108963093,2.7065026362,0.5975395431,0,9.7715289982,65,0,109,4,6,77,17,0,278,0.3621169916,0,0.0222841226,0.6072423398,0.0334261838,0.4289693593,0.0947075209,0,1.5487465181,2845,9,31.6344463972,179.5,10.44,179.5,15.8495821727,55.6356763022,24.001229905,0.2750223004
800416,2.9996939088,0.061218243,6.5197428834,0.1836547291,0.061218243,6.5809611264,1.1019283747,0,17.5084175084,1.3133208255,0.0268024658,2.8544626106,0.0804073975,0.0268024658,2.8812650764,0.4824443849,0,7.6655052265,98,2,213,6,2,215,36,0,572,0.4160828769,0.0084914873,0.0254744619,0.9043433957,0.0084914873,0.912834883,0.1528467711,0,2.4285653632,7462,41,54.9450549451,235.53,32.67,235.53,31.6817390566,60.5019483705,5.5568934254,0.0481337173
800501,2.8022417934,0,8.5668534828,0.1601281025,0,5.7646116894,0.6405124099,0,17.934347478,0.6226650062,0,1.9035758762,0.0355808575,0,1.28091087,0.14232343,0,3.9850560399,35,0,107,2,0,72,8,0,224,0.0774627625,0,0.0044264436,0.2368147312,0,0.1593519687,0.0177057743,0,0.4957616803,5621,58,103.1844867461,451.83,12.49,451.83,12.4405196645,50.940038082,52.2444486641,0.3389755701
800502,0.7975460123,0.3374233129,7.3006134969,0.1226993865,0.3067484663,4.9079754601,0.981595092,0.0613496933,14.8159509202,0.4693140794,0.1985559567,4.2960288809,0.0722021661,0.1805054152,2.8880866426,0.5776173285,0.036101083,8.7184115523,26,11,238,4,10,160,32,2,483,0.0237527521,0.0100492413,0.0036542696,0.2174290387,0.0091356739,0.1461707823,0.0292341565,0.0018271348,0.441253049,5540,52,93.8628158845,1094.61,32.6,1094.61,5.0611633367,53.4427978447,40.4200180398,0.2743956392
800503,0.9733237203,0,10.5623648162,0.0720980534,0.2162941601,3.3886085076,1.117519827,0.1441961067,16.4744051911,0.3297508549,0,3.5784074255,0.0244259893,0.0732779678,1.1480214949,0.3786028334,0.0488519785,5.5813385442,27,0,293,2,6,94,31,4,457,0.0150385991,0,0.0011139703,0.1631966492,0.0033419109,0.0523566042,0.0172665397,0.0022279406,0.2545422139,8188,61,74.4992672203,1795.38,27.74,1795.38,4.5605944146,61.8208747057,12.6783925146,0.0930045431
800504,1.0256410256,0,10.1631701632,0.0932400932,0.372960373,7.5990675991,1.2587412587,0.0466200466,20.5594405594,0.3730077993,0,3.6961681926,0.0339097999,0.1356391997,2.7636486945,0.4577822991,0.0169549,7.477110885,22,0,218,2,8,163,27,1,441,0.0268122654,0,0.0024374787,0.2656851753,0.0097499147,0.1986545118,0.0329059621,0.0012187393,0.5374640472,5898,42,71.2105798576,820.52,21.45,820.52,7.1881246039,60.7146751336,10.4959047239,0.0795594803
