addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
810602,0.5722029815,0.0301159464,4.0656527631,0.0150579732,0.5270290619,2.0930582744,0.3613913567,0,7.6645083572,0.5888733922,0.0309933364,4.1841004184,0.0154966682,0.5423833876,2.1540368821,0.3719200372,0,7.8878041221,38,2,270,1,35,139,24,0,509,0.0375290109,0.0019752111,0.0009876056,0.2666534986,0.0345661943,0.1372771715,0.0237025332,0,0.5026912251,6453,6,9.2980009298,1012.55,66.41,1012.55,6.3730186164,32.1493660186,22.8513650888,0.5513345424
810603,0.1414227125,0.0282845425,4.9073681233,0.0848536275,0.169707255,2.1354829586,0.7071135624,0.0141422712,8.188375053,0.1312680494,0.0262536099,4.5550013127,0.0787608296,0.1575216592,1.9821475453,0.6563402468,0.0131268049,7.6004200578,10,2,347,6,12,151,50,1,579,0.0103530386,0.0020706077,0.0062118232,0.35925044,0.0124236463,0.1563308831,0.0517651931,0.0010353039,0.5994409359,7618,28,36.7550538199,965.9,70.71,965.9,7.8869448183,59.1355336079,22.380479788,0.2333960026
810604,1.001496489,0.0115114539,1.8418326235,0.0575572695,0.4029008864,2.0145044319,0.3568550708,0.0230229078,5.7096811327,1.481355355,0.017027073,2.7243316874,0.0851353652,0.5959475566,2.9797377831,0.5278392644,0.0340541461,8.4454282309,87,1,160,5,35,175,31,2,496,0.1255646802,0.0014432722,0.0072163609,0.2309235499,0.0505145265,0.2525726327,0.0447414378,0.0028865444,0.7158630046,5873,15,25.5406095692,692.87,86.87,692.87,8.4763375525,36.7784293144,11.2378197452,0.1803272314
810701,2.2864321608,0.0502512563,8.2663316583,0.0502512563,0.3768844221,4.5728643216,1.3819095477,0.0251256281,17.0100502513,0.9791263181,0.0215192597,3.5399182268,0.0215192597,0.161394448,1.9582526361,0.5917796428,0.0107596299,7.2842694211,91,2,329,2,15,182,55,1,677,0.1341055455,0.0029473746,0.0029473746,0.484843126,0.0221053097,0.268211091,0.0810528022,0.0014736873,0.9976863109,9294,28,30.1269636325,678.57,39.8,678.57,13.6964498873,65.0398694312,34.9129057987,0.3668600149
810702,0.3179650238,0.019872814,1.0135135135,0,0.1589825119,2.066772655,0.4173290938,0.019872814,4.0143084261,0.2638957612,0.0164934851,0.8411677387,0,0.1319478806,1.7153224476,0.3463631865,0.0164934851,3.3316839848,16,1,51,0,8,104,21,1,202,0.0310776163,0.001942351,0,0.0990599021,0.0155388082,0.2020045063,0.0407893715,0.001942351,0.3923549064,6063,29,47.8311067128,514.84,50.32,514.84,11.7764742444,90.0287899059,42.197683193,0.3060910695
810703,2.5288211231,0.0371885459,9.9665303087,0.1115656378,0.4462625511,4.6113796951,1.7106731127,0,19.4124209743,1.3706913929,0.0201572264,5.402136666,0.0604716791,0.2418867164,2.4994960693,0.9272324128,0,10.5220721629,68,1,268,3,12,124,46,0,522,0.0990502826,0.0014566218,0.0043698654,0.3903746431,0.0174794616,0.1806211035,0.0670046029,0,0.760356581,4961,28,56.4402338238,686.52,26.89,686.52,7.2263007633,27.4972499348,28.942983889,0.3448159582
810704,0.4114549045,0.1481237656,7.7847267939,0.1152073733,0.5266622778,5.6287030941,1.2508229098,0.0329163924,15.8986175115,0.6436663234,0.2317198764,12.1781668383,0.1802265705,0.8238928939,8.8053553038,1.9567456231,0.0514933059,24.8712667353,25,9,473,7,32,342,76,2,966,0.0363039658,0.0130694277,0.0101651104,0.6868710338,0.0464690763,0.4966382528,0.1103640562,0.0029043173,1.4027852403,3884,9,23.1719876416,688.63,60.76,688.63,5.6401841337,13.8992132786,9.272774363,0.2501341778
810801,1.5996180017,0.1313119255,9.8483944133,0.2984361943,0.370060881,5.2882893637,1.5518682106,0.0238748955,19.1118538856,0.9171800137,0.0752908966,5.6468172485,0.1711156742,0.212183436,3.0321697467,0.8898015058,0.0136892539,10.9582477755,134,11,825,25,31,443,130,2,1601,0.3145539906,0.0258215962,0.058685446,1.9366197183,0.0727699531,1.0399061033,0.3051643192,0.0046948357,3.7582159624,14610,48,32.8542094456,426,83.77,426,34.2957746479,39.132709066,6.2784996205,0.0872172299
810803,0.960640427,0.0533689126,7.9919946631,0.1067378252,0.266844563,2.3882588392,0.6804536358,0.0133422282,12.4616410941,0.7755277897,0.0430848772,6.4519603619,0.0861697544,0.215424386,1.9280482551,0.5493321844,0.0107712193,10.0603188281,72,4,599,8,20,179,51,1,934,0.0732600733,0.0040700041,0.0081400081,0.6094831095,0.0203500204,0.1821326821,0.0518925519,0.001017501,0.9503459503,9284,27,29.0822921155,982.8,74.95,971.2,9.4464794465,45.9997446448,16.9174525293,0.2253195739
810804,2.2680412371,0.235640648,15.7879234168,0.176730486,0.471281296,6.5684830633,1.5611192931,0,27.0692194404,1.3337952538,0.1385761303,9.2846007275,0.1039320977,0.2771522605,3.862809631,0.918066863,0,15.9189329638,77,8,536,6,16,223,53,0,919,0.3037595171,0.0315594304,0.0236695728,2.1144818336,0.0631188607,0.8797191211,0.2090812261,0,3.6253895617,5773,12,20.7864195392,253.49,33.95,253.49,22.774073928,29.5020240735,8.7156045343,0.1733122743
810805,0.2140754616,0.0133797164,8.563018464,0.0133797164,0.0401391491,2.2611720632,0.7492641156,0,11.8544286861,0.2482544608,0.0155159038,9.9301784329,0.0155159038,0.0465477114,2.6221877424,0.8688906129,0,13.747090768,16,1,640,1,3,169,56,0,886,0.0256012289,0.0016000768,0.0016000768,1.0240491544,0.0048002304,0.2704129798,0.089604301,0,1.4176680481,6445,15,23.2738557021,624.97,74.74,624.97,10.3124949998,16.4914383889,6.7824173132,0.170561226
810806,0.2011622709,0.0223513634,3.509164059,0.0894054537,0.156459544,1.6092981672,0.2235136343,0,5.8113544926,0.1496757026,0.0166306336,2.6110094795,0.0665225345,0.1164144354,1.1974056212,0.1663063363,0,4.3239647431,9,1,157,4,7,72,10,0,260,0.0432629909,0.004806999,0.019227996,0.7546988415,0.0336489929,0.3461039273,0.0480699899,0,1.2498197375,6013,7,11.641443539,208.03,44.74,208.03,28.9044849301,54.033658648,42.392215109,0.6454838089
810807,0.4397726054,0.0321784833,9.5570095463,0.0750831277,0.0536308055,2.4670170546,0.8902713719,0,13.5149629947,0.5242966752,0.0383631714,11.3938618926,0.0895140665,0.0639386189,2.9411764706,1.0613810742,0,16.1125319693,41,3,891,7,5,230,83,0,1260,0.0715532286,0.0052356021,0.0122164049,1.554973822,0.0087260035,0.4013961606,0.1448516579,0,2.1989528796,7820,15,19.1815856777,573,93.23,573,13.647469459,2.9913406708,16.190245007,0.7301807958
810808,0.4684389273,0.0351329195,3.1502517859,0.128820705,0.1405316782,2.5412811805,0.9368778545,0.0234219464,7.4247569973,0.5393743258,0.0404530744,3.6272923409,0.1483279396,0.1618122977,2.9261057174,1.0787486516,0.0269687163,8.5490830636,40,3,269,11,12,217,80,2,634,0.0370902684,0.0027817701,0.0101998238,0.2494320553,0.0111270805,0.2012147063,0.0741805369,0.0018545134,0.5878807548,7416,14,18.8781014024,1078.45,85.39,1078.45,6.8765357689,64.0791242956,45.2010228932,0.5448714384
