addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
100601,3.7452940413,0.5257691808,13.6699987018,0.4219135402,0.6555887317,24.2827469817,2.2199143191,0.1038556407,45.6250811372,0.7173315763,0.1006999267,2.6181980929,0.0808085831,0.1255641061,4.6508447605,0.4251774681,0.0198913435,8.7385158571,577,81,2106,65,101,3741,342,16,7029,5.2795315216,0.741147406,0.5947479184,19.2698325556,0.9241467655,34.2300301949,3.1292890475,0.1463994876,64.3151248971,80437,806,100.2026430623,109.29,154.06,109.29,735.9959740141,82.138599935,18.0640431273,0.099067237
100608,3.3188184065,0.4413322349,13.6048016947,0.3530657879,0.4648699541,25.2500882664,2.3949629281,0.088266447,45.9162057197,0.8299610036,0.1103671547,3.40225149,0.0882937238,0.116253403,6.3144728129,0.5989257597,0.0220734309,11.4825987786,564,75,2312,60,79,4291,407,15,7803,3.8390851542,0.5105166428,0.4084133143,15.7375263767,0.5377441971,29.2083588592,2.7704036485,0.1021033286,53.1141515213,67955,907,133.4706791259,146.91,169.94,146.91,462.5621128582,94.5842149152,38.8864642107,0.1705136142
100701,1.7329255861,0.3567787971,6.6768603466,0.5606523955,0.4587155963,16.3098878695,3.2110091743,0.1019367992,29.4087665647,0.1925800057,0.0396488247,0.7419994336,0.062305296,0.0509770603,1.8125177004,0.3568394223,0.0113282356,3.2681959785,34,7,131,11,9,320,63,2,577,2.9565217391,0.6086956522,0.9565217391,11.3913043478,0.7826086957,27.8260869565,5.4782608696,0.1739130435,50.1739130435,17655,112,63.4381195129,11.5,19.62,11.5,1535.2173913044,67.4947665665,4.0566470536,0.0309826444
100702,0.9415262636,0.7433102081,4.4598612488,0.396432111,0.0991080278,9.8116947473,3.4192269574,0.1486620416,20.0198216056,0.2492457038,0.196772924,1.1806375443,0.1049455595,0.0262363899,2.5974025974,0.9051554506,0.0393545848,5.2997507543,19,15,90,8,2,198,69,3,404,1.5310233683,1.2087026591,0.6446414182,7.2522159549,0.1611603546,15.9548751007,5.5600322321,0.2417405318,32.5543916197,7623,65,85.2682670864,12.41,20.18,12.41,614.2626913779,77.1759290858,8.0923380006,0.0498161103
100703,0.4777070064,0.2786624204,2.1098726115,0.199044586,0.0796178344,8.0015923567,0.9554140127,0.2388535032,12.3407643312,0.1980524839,0.1155306156,0.8747318039,0.0825218683,0.0330087473,3.3173791055,0.3961049678,0.099026242,5.1163558343,12,7,53,5,2,201,24,6,310,0.6144393241,0.3584229391,0.256016385,2.7137736815,0.102406554,10.291858679,1.2288786482,0.3072196621,15.873015873,6059,84,138.6367387358,19.53,25.12,19.53,310.2406554019,94.2352163829,44.4015223529,0.1906692557
100704,1.3678136354,0.5343022013,3.8469758495,0.5129301133,0.1068604403,10.066253473,1.1327206668,0.1068604403,17.6747168198,0.3505504738,0.1369337788,0.9859232075,0.1314564277,0.0273867558,2.5798323931,0.2902996111,0.0273867558,4.5297694035,64,25,180,24,5,471,53,5,827,2.053915276,0.8023106547,0.7702182285,5.7766367137,0.1604621309,15.1155327343,1.7008985879,0.1604621309,26.540436457,18257,108,59.1553924522,31.16,46.79,31.16,585.9114249037,76.7863952448,17.6310027926,0.1296952401
100801,1.7716535433,1.1811023622,8.7598425197,1.8700787402,0.1968503937,16.1417322835,8.2677165354,0.3937007874,38.5826771654,0.1129659847,0.0753106565,0.5585540354,0.1192418727,0.0125517761,1.0292456383,0.5271745952,0.0251035522,2.460148111,18,12,89,19,2,164,84,4,392,3.125,2.0833333333,3.2986111111,15.4513888889,0.3472222222,28.4722222222,14.5833333333,0.6944444444,68.0555555556,15934,134,84.0968997113,5.76,10.16,5.76,2766.3194444444,65.0826134717,19.0142862396,0.1274590983
100802,0.6684491979,0.4010695187,6.8181818182,0.8021390374,0.1336898396,21.9251336898,3.6096256684,0,34.3582887701,0.0685494927,0.0411296956,0.6992048259,0.0822593913,0.0137098985,2.2484233617,0.3701672608,0,3.5234439265,5,3,51,6,1,164,27,0,257,1.2195121951,0.7317073171,1.4634146341,12.4390243902,0.243902439,40,6.5853658537,0,62.6829268293,7294,53,72.6624622978,4.1,7.48,4.1,1779.0243902439,72.2664041701,0.3960581277,0.002732776
100803,1.5222482436,1.1709601874,13.700234192,0.2341920375,0.5854800937,31.850117096,3.981264637,0,53.0444964871,0.1325583767,0.1019679821,1.19302539,0.0203935964,0.050983991,2.7735291119,0.346691139,0,4.619149587,13,10,117,2,5,272,34,0,453,2.4029574861,1.8484288355,0.3696857671,21.6266173752,0.9242144177,50.2772643253,6.2846580407,0,83.7338262477,9807,79,80.5547058224,5.41,8.54,5.41,1812.7541589649,73.4989441622,7.0557616602,0.0458006783
100804,1.647446458,1.9769357496,11.2026359143,1.647446458,0.3294892916,25.7001647446,2.8006589786,0.1647446458,45.4695222405,0.1391014049,0.1669216859,0.9458895535,0.1391014049,0.027820281,2.1699819168,0.2364723884,0.0139101405,3.8391987759,10,12,68,10,2,156,17,1,276,2.6737967914,3.2085561497,2.6737967914,18.1818181818,0.5347593583,41.7112299465,4.5454545455,0.2673796791,73.7967914439,7189,44,61.2046181666,3.74,6.07,3.74,1922.192513369,72.1863094124,10.9816912458,0.0823271226
