addrcode,subdistrict_th,subdistrict_en,district_code,district_th,district_en,province_code,province_th,province_en,LAT,LONG,Population
103503,บางมด,,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok,13.672,100.468,45151
103504,จอมทอง,,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok,13.693,100.468,35415
103602,สีกัน,,1036,ดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,Bangkok,13.925,100.593,62838
103604,ดอนเมือง,,1036,ดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,Bangkok,,,82026
103605,สนามบิน,,1036,ดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,Bangkok,,,24032
103701,ทุ่งพญาไท,,1037,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.763,100.53,32131
103702,ถนนพญาไท,,1037,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.757,100.538,9047
103703,ถนนเพชรบุรี,,1037,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.752,100.559,14844
103704,มักกะสัน,,1037,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.752,100.528,16414
103801,ลาดพร้าว,,1038,ลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,Bangkok,13.811,100.612,93338
103802,จรเข้บัว,,1038,ลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,Bangkok,13.84,100.6,27662
103901,คลองเตยเหนือ,,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok,13.743,100.56,8612
103902,คลองตันเหนือ,,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok,13.736,100.576,53272
103903,พระโขนงเหนือ,,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok,13.719,100.596,22644
104001,บางแค,,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok,13.698,100.409,39433
104002,บางแคเหนือ,,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok,13.72,100.4,60340
104003,บางไผ่,,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok,13.741,100.385,40262
104004,หลักสอง,,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok,13.683,100.396,52378
104101,ทุ่งสองห้อง,,1041,หลักสี่,Lak Si,10,กรุงเทพมหานคร,Bangkok,13.883,100.564,77494
104102,ตลาดบางเขน,,1041,หลักสี่,Lak Si,10,กรุงเทพมหานคร,Bangkok,13.871,100.58,28094
104201,สายไหม,,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok,13.921,100.654,78615
104202,ออเงิน,,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok,13.896,100.672,36104
104203,คลองถนน,,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok,13.898,100.63,85655
104301,คันนายาว,,1043,คันนายาว,Khanna Yao,10,กรุงเทพมหานคร,Bangkok,13.821,100.677,45794
104302,รามอินทรา,,1043,คันนายาว,Khanna Yao,10,กรุงเทพมหานคร,Bangkok,,,49575
104401,สะพานสูง,,1044,สะพานสูง,Saphan Sung,10,กรุงเทพมหานคร,Bangkok,13.761,100.688,94982
104501,วังทองหลาง,,1045,วังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,Bangkok,13.779,100.609,25472
104502,สะพานสอง,,1045,วังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,Bangkok,,,12430
104503,คลองเจ้าคุณสิงห์,,1045,วังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,Bangkok,,,29826
104504,พลับพลา,,1045,วังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,Bangkok,,,45121
104601,สามวาตะวันตก,,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.889,100.708,54670
104602,สามวาตะวันออก,,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.896,100.76,25656
104603,บางชัน,,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.839,100.7,80949
104604,ทรายกองดิน,,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.854,100.745,11838
104605,ทรายกองดินใต้,,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.861,100.786,16394
104701,บางนา,,1047,บางนา,Bang Na,10,กรุงเทพมหานคร,Bangkok,13.672,100.616,92023
