"","Subdistrict_Code","Year","Week","NumberCases"
"513","100405",2014,46,2
"514","103504",2014,46,1
"515","101901",2014,46,2
"516","104102",2014,46,1
"517","100805",2014,46,2
"518","101704",2014,46,1
"519","101701",2014,46,1
"520","104801",2014,46,1
"521","104203",2014,46,1
"522","103802",2014,46,1
"523","103401",2014,47,6
"524","104801",2014,47,1
"525","102107",2014,47,6
"526","103501",2014,47,3
"527","103202",2014,47,3
"528","103801",2014,47,7
"529","102208",2014,47,1
"530","102401",2014,47,3
"531","101001",2014,47,1
"532","103502",2014,47,3
"533","100701",2014,47,4
"534","104802",2014,47,2
"535","101505",2014,47,1
"536","100306",2014,47,1
"537","104605",2014,47,1
"538","103604",2014,47,2
"539","102601",2014,47,12
"540","101504",2014,47,2
"541","104002",2014,47,2
"542","100601",2014,47,6
"543","103902",2014,47,3
"544","103301",2014,47,1
"545","104001",2014,47,1
"546","102801",2014,47,4
"547","103602",2014,47,4
"548","101101",2014,47,2
"549","104401",2014,47,3
"550","104603",2014,47,1
"551","102303",2014,47,3
"552","102006",2014,47,3
"553","101401",2014,47,3
"554","101204",2014,47,1
"555","100508",2014,47,1
"556","105001",2014,47,5
"557","101102",2014,47,1
"558","104302",2014,47,1
"559","103103",2014,47,7
"560","103504",2014,47,1
"561","101704",2014,47,2
"562","102302",2014,47,1
"563","102803",2014,47,2
"564","104901",2014,47,2
"565","102105",2014,47,1
"566","104004",2014,47,3
"567","102402",2014,47,2
"568","103001",2014,47,2
"569","103802",2014,47,1
"570","102005",2014,47,3
"571","103203",2014,47,1
"572","104501",2014,47,2
"573","102504",2014,47,1
"574","102701",2014,47,4
"575","100304",2014,47,2
"576","100608",2014,47,3
"577","100303",2014,47,1
"578","100905",2014,47,1
"579","103005",2014,47,2
"580","103102",2014,47,3
"581","100405",2014,47,2
"582","101302",2014,47,1
"583","100502",2014,47,1
"584","101002",2014,47,1
"585","100201",2014,47,4
"586","104902",2014,47,5
"587","101905",2014,47,1
"588","101902",2014,47,1
"589","104701",2014,47,4
"590","103503",2014,47,3
"591","101203",2014,47,4
"592","102901",2014,47,2
"593","101801",2014,47,1
"594","101602",2014,47,1
"595","100307",2014,47,1
"596","101701",2014,47,2
"597","103704",2014,47,3
"598","101506",2014,47,1
"599","101501",2014,47,1
"600","100101",2014,47,1
"601","103101",2014,47,1
"602","100404",2014,47,1
"603","100302",2014,47,2
"604","109999",2014,47,1
"605","101507",2014,47,2
"606","104504",2014,47,1
"607","100803",2014,47,1
"608","100206",2014,47,1
"609","103702",2014,47,1
"610","100112",2014,47,1
"611","100704",2014,47,1
"612","103701",2014,47,1
"613","102210",2014,47,1
"614","100401",2014,47,1
"615","103302",2014,47,1
"616","101804",2014,47,1
"617","101802",2014,47,1
"618","101701",2014,48,1
"619","102601",2014,48,14
"620","103801",2014,48,5
"621","103103",2014,48,4
"622","103201",2014,48,3
"623","100201",2014,48,1
"624","104902",2014,48,4
"625","104603",2014,48,1
"626","100601",2014,48,4
"627","102701",2014,48,4
"628","103701",2014,48,3
"629","100702",2014,48,1
"630","101104",2014,48,1
"631","105001",2014,48,3
"632","104001",2014,48,2
"633","101902",2014,48,2
"634","102401",2014,48,2
"635","103903",2014,48,4
"636","104003",2014,48,2
"637","103602",2014,48,2
"638","102503",2014,48,2
"639","104203",2014,48,3
"640","103202",2014,48,3
"641","103501",2014,48,2
"642","103101",2014,48,3
"643","102801",2014,48,2
"644","100303",2014,48,1
"645","101401",2014,48,4
"646","100405",2014,48,1
"647","101302",2014,48,1
"648","101803",2014,48,2
"649","101901",2014,48,2
"650","103001",2014,48,4
"651","103301",2014,48,5
"652","100206",2014,48,1
"653","102107",2014,48,9
"654","103401",2014,48,4
"655","104004",2014,48,1
"656","103604",2014,48,3
"657","104701",2014,48,2
"658","101802",2014,48,2
"659","100107",2014,48,2
"660","100103",2014,48,1
"661","100502",2014,48,3
"662","104503",2014,48,3
"663","104901",2014,48,2
"664","104801",2014,48,1
"665","100703",2014,48,2
"666","100307",2014,48,3
"667","101203",2014,48,1
"668","102105",2014,48,2
"669","101601",2014,48,1
"670","100204",2014,48,3
"671","101502",2014,48,1
"672","101903",2014,48,2
"673","102209",2014,48,1
"674","103702",2014,48,2
"675","102201",2014,48,1
"676","101505",2014,48,1
"677","103802",2014,48,1
"678","103902",2014,48,2
"679","102504",2014,48,1
"680","101801",2014,48,1
"681","103502",2014,48,2
"682","103203",2014,48,1
"683","100905",2014,48,2
"684","104802",2014,48,1
"685","103704",2014,48,3
"686","101904",2014,48,1
"687","104201",2014,48,2
"688","101804",2014,48,1
"689","102803",2014,48,1
"690","101507",2014,48,1
"691","109999",2014,48,1
"692","103503",2014,48,2
"693","102302",2014,48,1
"694","104401",2014,48,1
"695","104504",2014,48,2
"696","103703",2014,48,1
"697","102207",2014,48,1
"698","100401",2014,48,1
"699","101204",2014,48,2
"700","103504",2014,48,2
"701","100801",2014,48,2
"702","103005",2014,48,1
"703","104302",2014,48,1
"704","101301",2014,48,1
"705","101602",2014,48,1
"706","100508",2014,48,1
"707","101102",2014,48,1
"708","104002",2014,48,1
"709","100404",2014,48,1
"710","102901",2014,48,1
"711","100502",2014,49,2
"712","103602",2014,49,2
"713","103401",2014,49,8
"714","103502",2014,49,4
"715","102007",2014,49,2
"716","101803",2014,49,1
"717","104504",2014,49,2
"718","101504",2014,49,3
"719","101401",2014,49,7
"720","102601",2014,49,9
"721","104401",2014,49,6
"722","105001",2014,49,3
"723","101507",2014,49,1
"724","101101",2014,49,1
"725","101503",2014,49,4
"726","103203",2014,49,3
"727","102701",2014,49,3
"728","102105",2014,49,6
"729","104902",2014,49,4
"730","100301",2014,49,2
"731","103605",2014,49,1
"732","104301",2014,49,2
"733","102005",2014,49,3
"734","103704",2014,49,1
"735","104004",2014,49,3
"736","102901",2014,49,3
"737","102402",2014,49,2
"738","102802",2014,49,1
"739","104701",2014,49,5
"740","103103",2014,49,7
"741","100201",2014,49,1
"742","104203",2014,49,3
"743","100508",2014,49,2
