"","Subdistrict_Code","Year","NumberCases"
"952","800107",2016,33
"953","801803",2016,9
"954","810116",2016,40
"955","802201",2016,33
"956","801214",2016,12
"957","800116",2016,29
"958","810103",2016,44
"959","800106",2016,11
"960","801208",2016,3
"961","801702",2016,59
"962","800101",2016,84
"963","800702",2016,6
"964","800410",2016,13
"965","801401",2016,17
"966","800118",2016,77
"967","800903",2016,31
"968","800902",2016,28
"969","801906",2016,13
"970","800103",2016,24
"971","800610",2016,3
"972","810106",2016,14
"973","810702",2016,5
"974","801703",2016,11
"975","801402",2016,14
"976","801210",2016,8
"977","801201",2016,8
"978","810115",2016,43
"979","800102",2016,43
"980","800701",2016,15
"981","800202",2016,9
"982","801212",2016,6
"983","801207",2016,3
"984","801305",2016,20
"985","810117",2016,16
"986","800913",2016,29
"987","800119",2016,7
"988","800606",2016,2
"989","810304",2016,8
"990","810403",2016,19
"991","801203",2016,7
"992","810105",2016,25
"993","810506",2016,8
"994","801211",2016,3
"995","801218",2016,4
"996","800303",2016,15
"997","810406",2016,15
"998","801603",2016,9
"999","802301",2016,9
"1000","810601",2016,10
"1001","801002",2016,24
"1002","810407",2016,13
"1003","800302",2016,10
"1004","800704",2016,9
"1005","800406",2016,12
"1006","801405",2016,7
"1007","800120",2016,52
"1008","810803",2016,4
"1009","801302",2016,17
"1010","810502",2016,10
"1011","801701",2016,49
"1012","800304",2016,13
"1013","810604",2016,5
"1014","800601",2016,13
"1015","810805",2016,4
"1016","802202",2016,15
"1017","800504",2016,12
"1018","810201",2016,21
"1019","810111",2016,27
"1020","800912",2016,8
"1021","801306",2016,15
"1022","800501",2016,30
"1023","810509",2016,6
"1024","801604",2016,6
"1025","800205",2016,21
"1026","800201",2016,31
"1027","810603",2016,1
"1028","801503",2016,7
"1029","800301",2016,22
"1030","801502",2016,6
"1031","800122",2016,24
"1032","800115",2016,35
"1033","810118",2016,13
"1034","801501",2016,17
"1035","810501",2016,7
"1036","801105",2016,12
"1037","810204",2016,8
"1038","810405",2016,14
"1039","801001",2016,49
"1040","801801",2016,6
"1041","810401",2016,15
"1042","810503",2016,5
"1043","801611",2016,12
"1044","801605",2016,18
"1045","800907",2016,17
"1046","800113",2016,16
"1047","800904",2016,11
"1048","810807",2016,3
"1049","810302",2016,9
"1050","810505",2016,11
"1051","801408",2016,4
"1052","810303",2016,13
"1053","810102",2016,13
"1054","802302",2016,12
"1055","800409",2016,23
"1056","800502",2016,20
"1057","800905",2016,15
"1058","810766",2016,1
"1059","802102",2016,11
"1060","801406",2016,4
"1061","810808",2016,4
"1062","802304",2016,15
"1063","802003",2016,24
"1064","800401",2016,9
"1065","800204",2016,25
"1066","801404",2016,5
"1067","800908",2016,16
"1068","802002",2016,16
"1069","800305",2016,13
"1070","800203",2016,6
"1071","802001",2016,10
"1072","810801",2016,10
"1073","800909",2016,21
"1074","810402",2016,8
"1075","810202",2016,8
"1076","801303",2016,9
"1077","810704",2016,1
"1078","800906",2016,18
"1079","800407",2016,6
"1080","801802",2016,13
"1081","801301",2016,24
"1082","801409",2016,7
"1083","801904",2016,6
"1084","801901",2016,3
"1085","801204",2016,4
"1086","801202",2016,1
"1087","801101",2016,14
"1088","800604",2016,2
"1089","802004",2016,17
"1090","801205",2016,4
"1091","801601",2016,24
"1092","800503",2016,20
"1093","801704",2016,16
"1094","800910",2016,4
"1095","810504",2016,8
"1096","801003",2016,40
"1097","802101",2016,5
"1098","800112",2016,13
"1099","810507",2016,2
"1100","800804",2016,6
"1101","810508",2016,2
"1102","801103",2016,4
"1103","810602",2016,1
"1104","800405",2016,7
"1105","800611",2016,14
"1106","802203",2016,11
"1107","800605",2016,5
"1108","801004",2016,2
"1109","800801",2016,22
"1110","800612",2016,11
"1111","800206",2016,1
"1112","800806",2016,8
"1113","800709",2016,9
"1114","800114",2016,4
"1115","810404",2016,7
"1116","801407",2016,2
"1117","810205",2016,4
"1118","810301",2016,5
"1119","802303",2016,22
"1120","800807",2016,10
"1121","801403",2016,2
