"","Subdistrict_Code","Year","Month","NumberCases"
"377","104802",2014,12,2
"378","109999",2014,12,1
"379","104605",2014,12,1
"380","104801",2014,12,2
"381","101302",2014,12,2
"382","100206",2014,12,2
"383","103002",2014,12,1
"384","103005",2014,12,1
"385","102202",2014,12,1
"386","103701",2014,12,2
"387","100104",2014,12,1
"388","101804",2014,12,1
"389","100401",2014,12,2
"390","103703",2014,12,1
"391","102208",2014,12,1
"392","101702",2014,12,1
"393","103302",2014,12,1
"394","104602",2014,12,1
"395","100905",2014,12,3
"396","100704",2014,12,1
"397","104501",2014,12,2
"398","102210",2014,12,1
"399","100608",2014,1,4
"400","104701",2014,1,7
"401","102901",2014,1,9
"402","102005",2014,1,5
"403","102402",2014,1,7
"404","103801",2014,1,8
"405","100508",2014,1,5
"406","103102",2014,1,4
"407","104902",2014,1,8
"408","101503",2014,1,2
"409","100308",2014,1,1
"410","104601",2014,1,3
"411","103502",2014,1,4
"412","104201",2014,1,2
"413","103702",2014,1,2
"414","101401",2014,1,6
"415","102503",2014,1,4
"416","100203",2014,1,4
"417","100601",2014,1,5
"418","103903",2014,1,4
"419","101602",2014,1,7
"420","103401",2014,1,7
"421","102803",2014,1,5
"422","100404",2014,1,1
"423","104802",2014,1,4
"424","102303",2014,1,11
"425","104001",2014,1,4
"426","102302",2014,1,9
"427","102601",2014,1,14
"428","104603",2014,1,1
"429","104102",2014,1,2
"430","103201",2014,1,5
"431","101203",2014,1,3
"432","102801",2014,1,5
"433","105001",2014,1,8
"434","101001",2014,1,4
"435","100305",2014,1,4
"436","104003",2014,1,2
"437","104002",2014,1,3
"438","104401",2014,1,4
"439","101701",2014,1,8
"440","102504",2014,1,3
"441","103301",2014,1,11
"442","104004",2014,1,7
"443","101803",2014,1,6
"444","102007",2014,1,6
"445","103501",2014,1,3
"446","100905",2014,1,4
"447","104901",2014,1,12
"448","102701",2014,1,9
"449","100201",2014,1,3
"450","101506",2014,1,1
"451","101801",2014,1,1
"452","103504",2014,1,3
"453","103701",2014,1,2
"454","101704",2014,1,3
"455","102401",2014,1,5
"456","103902",2014,1,2
"457","103303",2014,1,3
"458","102207",2014,1,3
"459","103802",2014,1,3
"460","102107",2014,1,5
"461","104801",2014,1,1
"462","101504",2014,1,3
"463","103103",2014,1,11
"464","103004",2014,1,6
"465","100301",2014,1,3
"466","102201",2014,1,1
"467","104101",2014,1,2
"468","102004",2014,1,1
"469","100102",2014,1,2
"470","100502",2014,1,4
"471","103901",2014,1,1
"472","104503",2014,1,3
"473","100803",2014,1,1
"474","102501",2014,1,3
"475","102202",2014,1,3
"476","101102",2014,1,3
"477","100206",2014,1,2
"478","100701",2014,1,2
"479","104203",2014,1,4
"480","101505",2014,1,2
"481","102009",2014,1,1
"482","104301",2014,1,3
"483","100703",2014,1,1
"484","101204",2014,1,4
"485","103704",2014,1,1
"486","102502",2014,1,1
"487","103503",2014,1,1
"488","103002",2014,1,1
"489","104202",2014,1,2
"490","101101",2014,1,2
"491","102206",2014,1,1
"492","101601",2014,1,2
"493","102105",2014,1,2
"494","103101",2014,1,4
"495","101502",2014,1,2
"496","103602",2014,1,1
"497","102705",2014,1,1
"498","101905",2014,1,2
"499","104501",2014,1,2
"500","100204",2014,1,2
"501","100307",2014,1,1
"502","103203",2014,1,2
"503","101802",2014,1,1
"504","104602",2014,1,1
"505","101902",2014,1,2
"506","100405",2014,1,1
"507","101103",2014,1,1
"508","101702",2014,1,1
"509","103604",2014,1,1
"510","100206",2014,2,8
"511","102006",2014,2,3
"512","104901",2014,2,4
"513","102302",2014,2,9
"514","101401",2014,2,2
"515","104802",2014,2,2
"516","104003",2014,2,6
"517","101902",2014,2,2
"518","102701",2014,2,6
"519","101102",2014,2,3
"520","104601",2014,2,3
"521","104605",2014,2,1
"522","103301",2014,2,4
"523","102210",2014,2,1
"524","104201",2014,2,3
"525","102004",2014,2,4
"526","100103",2014,2,1
"527","105001",2014,2,5
"528","102005",2014,2,4
"529","101506",2014,2,2
"530","104101",2014,2,6
"531","103102",2014,2,6
"532","104401",2014,2,3
"533","103503",2014,2,1
"534","102303",2014,2,7
"535","104302",2014,2,2
"536","100608",2014,2,3
"537","103103",2014,2,4
"538","103001",2014,2,3
"539","102009",2014,2,3
"540","102501",2014,2,4
"541","102105",2014,2,4
"542","104004",2014,2,7
"543","103604",2014,2,1
