addrcode,date,cases
100403,2014-05-01,2
100403,2014-06-01,1
100403,2014-08-01,1
100403,2015-05-01,1
100403,2015-04-01,4
100403,2015-09-01,2
100403,2015-10-01,1
100403,2016-03-01,1
100403,2016-04-01,1
100403,2016-02-01,1
100403,2017-08-01,5
100403,2017-07-01,1
100403,2017-09-01,1
100403,2017-10-01,2
100403,2017-11-01,3
100403,2017-02-01,1
100403,2018-04-01,3
100403,2018-01-01,2
100403,2018-05-01,1
100404,2014-10-01,1
100404,2014-11-01,1
100404,2014-12-01,2
100404,2014-01-01,1
100404,2014-02-01,1
100404,2014-06-01,1
100404,2014-07-01,1
100404,2014-08-01,2
100404,2015-10-01,2
100404,2015-11-01,6
100404,2015-05-01,2
100404,2015-07-01,3
100404,2015-06-01,1
100404,2015-04-01,1
100404,2015-01-01,2
100404,2015-08-01,1
100404,2015-02-01,2
100404,2015-09-01,1
100404,2016-10-01,1
100404,2016-09-01,1
100404,2017-01-01,1
100404,2017-11-01,2
100404,2017-10-01,2
100404,2017-04-01,1
100404,2018-04-01,2
100405,2014-10-01,5
100405,2014-11-01,6
100405,2014-01-01,1
100405,2014-05-01,1
100405,2014-08-01,2
100405,2014-09-01,1
100405,2015-06-01,4
100405,2015-11-01,4
100405,2015-01-01,1
100405,2015-09-01,2
100405,2015-05-01,2
100405,2015-08-01,1
100405,2015-12-01,3
100405,2015-03-01,3
100405,2015-02-01,2
100405,2016-12-01,2
100405,2016-09-01,2
100405,2016-01-01,2
100405,2016-08-01,1
100405,2016-02-01,2
100405,2016-03-01,1
100405,2017-07-01,8
100405,2017-06-01,6
100405,2017-01-01,3
100405,2017-08-01,14
100405,2017-11-01,5
100405,2017-05-01,5
100405,2017-10-01,3
100405,2017-09-01,1
100405,2018-04-01,2
100405,2018-03-01,2
100405,2018-05-01,2
100502,2014-10-01,9
100502,2014-11-01,3
100502,2014-12-01,5
100502,2014-01-01,4
100502,2014-02-01,7
100502,2014-03-01,4
100502,2014-04-01,3
100502,2014-05-01,2
100502,2014-06-01,3
100502,2014-07-01,1
100502,2014-08-01,8
100502,2014-09-01,5
